name,start_time,timezone,address,guest_count,hosts
Sound Hallucinations,2025-04-27T21:00:00.000Z,America/New_York,"301 Ten Eyck St, Brooklyn, NY 11206, USA",33,Nima Gardideh
Trinket Club: Crafting & Community,2025-04-27T22:30:00.000Z,America/New_York,"119 N 1st St, Brooklyn, NY 11249, USA",5,craftnook
Little Bar Mocktail Happy Hour,2025-04-29T22:00:00.000Z,America/New_York,"Little Bar, 1401 Hudson St, Hoboken, NJ 07030, USA",14,Annie Ferro
Open House: An Arts & Faith Series,2025-04-29T22:00:00.000Z,America/New_York,"Fabrik NYC, 12-16 Vestry St 4th Floor, New York, NY 10013, USA",50,Ravahn Rodriguez
NYC Founders Brew Mixer,2025-04-29T22:30:00.000Z,America/New_York,,0,"Chandiran, Daivik Goel"
book•ish report: a *new visions* book club powerpoint party,2025-04-29T23:00:00.000Z,America/New_York,"Black Gotham Experience, 192 Front St, New York, NY 10038, USA",13,boonoonoonoos & co
Making a Meet Cute: Offline Dating Strategies from Experts,2025-04-29T23:00:00.000Z,America/New_York,"Fabrik DUMBO, 20 Jay St Suite 218, Brooklyn, NY 11201, USA",69,"Met Through Friends, Stevie Bowen, Beyond Nice"
Farcon builder pizza hang! 🍕 (Neynar x USV),2025-04-30T21:00:00.000Z,America/New_York,,155,"rish, Union Square Ventures"
Hack Night at Microsoft!,2025-04-30T22:00:00.000Z,America/New_York,"Eleven Times Square, 640 8th Ave, New York, NY 10036, USA",65,"Adam Chan, Weaviate"
Onchain Creator House: NYC,2025-05-01T13:00:00.000Z,America/New_York,"Williamsburg, Brooklyn, NY, USA",55,Humpty Calderon
Haus of Nouns – NYC – 1,2025-05-01T14:00:00.000Z,America/New_York,"Williamsburg, Brooklyn, NY, USA",33,Benjamin Latsko
FARCON PIZZA PARTY,2025-05-01T22:00:00.000Z,America/New_York,"58 S 6th St, Brooklyn, NY 11249, USA",101,"Irving Ortega, Jean-Pierre Dominguez"
From Startup to Scale-up: Evolution of Tech Talent Strategy,2025-05-01T22:00:00.000Z,America/New_York,,0,"Chloe with Twill, Michelle Volberg"
GenJam NYC - Runway: Sitcom Generations! - Make A Sitcom With AI Tools,2025-05-02T21:00:00.000Z,America/New_York,,75,"Minh Do, Justin Suarez, Ia Robinson"
The MOTHER of ALL ART SHOWS!,2025-05-03T18:00:00.000Z,America/New_York,"EDEN STUDIO NYC, 508 W 26th St Studio 5A, New York, NY 10001, USA",22,"Hitomi, kevin kearse"
May 3 A\N/A Asian Culture Style & Taste Rooftop Tastemaker Panel and Sunset Social,2025-05-03T20:00:00.000Z,America/New_York,"Spring Place (New York), 6 St Johns Ln, New York, NY 10013, USA",0,Michelle Collins
106th NY Hardware Meetup @ Cornell Tech,2025-05-08T22:30:00.000Z,America/New_York,"Tata Innovation Center, 11 E Loop Rd, New York, NY 10044, USA",238,"Paul Vizzio, Anthony Dzaba, Nate"
HORT FAMILY COLLECTION OPEN HOUSE - Thursday,2025-05-08T22:30:00.000Z,America/New_York,"153 Hudson St, New York, NY 10013, USA",24,"Tyler Levine, Elysia Borowy"
