Name,Address,Date,Hosts,Url
“Roast” The NY Tech Week Coffee Kickoff,"Midtown, New York City",2025-06-02T07:00:00,Daap,https://partiful.com/e/KEAJilbIVRVCCkyRNhpi
Global Running Day with Drip Tech Co.,"Central Park, New York City",2025-06-04T06:30:00,Drip Tech Co.,https://partiful.com/e/MJmKLHaWlu0jZkYiqs2n
AI for Financial Services,"Hudson Yards, New York City",2025-06-04T18:00:00,Mistral AI,Invite Only
Idealist Salon: Small Actions to Global Movements,"Midtown, New York City",2025-06-06T18:00:00,BUILD Networks for Good,Invite Only
Navigate Career Growth in Uncertain Times:Career Strategies by Leading Experts,"Virtual (NYC), New York City",2025-06-05T12:30:00,Referred.fyi,https://partiful.com/e/Akr9QMVqExALLnaZWnO5
From Product Idea to Product Market Fit,"Flatiron, New York City",2025-06-04T08:00:00,Dualboot Partners,https://partiful.com/e/7D5D82IiJRBOV42uf5Vm
"Smart Talent Tactics to Hire, Lead & Motivate Without Burning Out [Founders & New People Manager]","Virtual (NYC), New York City",2025-06-06T11:00:00,MeMentum Community,https://partiful.com/e/CDdR0kaRLr6Oj1Un3xpQ
"Rebuilding the Empire, from the Empire State","Midtown, New York City",2025-06-05T19:00:00,"Dirac, Inc.",https://partiful.com/e/UQQtdKQUuJgX6tsYSx7j
"AI, XR & Gaming GP Dinner","Midtown, New York City",2025-06-03T18:00:00,Hartmann Capital,Invite Only
Fintech x AI: Shaping the Future of Finance,"None, New York City",2025-06-04T16:00:00,HSBC Innovation Banking,https://partiful.com/e/tUrxxallZh3I6A3ioALH
Board.Dev LIVE: Exploring Tech Board Leadership,"Flatiron, New York City",2025-06-06T08:30:00,Board.Dev,https://partiful.com/e/E5c89KdKsyhuHpUlp8OT
Rest Mode: Designing Tech That Helps Us Disconnect,"Midtown, New York City",2025-06-03T11:00:00,Loftie,https://partiful.com/e/3DLdZ3ZWITjP5CdrFcRx
"Drinks, (no) Divots and Drives","Flatiron, New York City",2025-06-05T19:00:00,Fenwick,https://partiful.com/e/CXod6rv4G82lKW9cxvQG
a16z speedrun Marketing Office Hours,"SoHo, New York City",2025-06-07T13:00:00,a16z speedrun,https://partiful.com/e/iJhYPnZcsyYsLAAdDMbJ
B2B Breakfast -NYTechWeek,"Flatiron, New York City",2025-06-06T08:30:00,Fenwick,https://partiful.com/e/3uKogtnHeklC7TtT2npi
Internet Street Smarts in the Park,"Central Park, New York City",2025-06-05T18:00:00,Cyber Collective,https://partiful.com/e/n6YjZA84VcccKcCXPaZ
Biotech Breakfast + Office Hours,"Midtown, New York City",2025-06-03T08:00:00,BIOTECH XYZ,https://partiful.com/e/onCic9VfJMr5w3IkPVkL
Taco Tuesday: NYC Founders & Investors,"SoHo, New York City",2025-06-03T18:00:00,Bling Capital,https://partiful.com/e/ru87TZSau1ax7mlTDymK
a16z speedrun Marketing Office Hours,"SoHo, New York City",2025-06-04T13:00:00,a16z speedrun,https://partiful.com/e/AWZYN08a2KZeHSE7tA3l
AI in the Future-of-Work - Indeed Venture Team,"Midtown, New York City",2025-06-04T18:00:00,Indeed,https://partiful.com/e/lyS06DbUjVcCBD6DQ9QZ
Vertical AI for the Future of Service Businesses,"SoHo, New York City",2025-06-05T15:00:00,Yess,https://partiful.com/e/mZfR6sQ8t5CQdQeuXZmI
NLX x Comcast Ventures AI Dinner,"Hudson Yards, New York City",2025-06-04T19:00:00,NLX,Invite Only
Honest Founder Dialogues,"Flatiron, New York City",2025-06-03T18:30:00,Pando Pooling,https://partiful.com/e/qu22bX8paF5bTVZbM1rW
Africans in the Diaspora Mixer,"Midtown, New York City",2025-06-02T18:00:00,"Lipaworld, Africa Tech NYC, Onye",https://partiful.com/e/uT870UqiiORXbdUKIOrA
Terminal Time Trial,"Midtown, New York City",2025-06-03T13:00:00,The Great Gotham Challenge,https://partiful.com/e/X7RJRfuPVaIQXv3lvbgS
Finance Automation 2.0 | Leadership Panel & Drinks,"Union Square, New York City",2025-06-03T18:00:00,"Sequence, Ramp, Rillet, Taxwire",https://partiful.com/e/WxDeJwZ7gHcKLCl4w3TB
"AI, XR & Gaming LP Dinner","Midtown, New York City",2025-06-05T18:00:00,Hartmann Capital,Invite Only
"High Stakes, High Hopes: Casino Night for a Cure","Tribeca, New York City",2025-06-06T19:00:00,The Glioblastoma Research Organization,https://partiful.com/e/BlTdSC3Ticed53viWKqs
AI on Main Street: Supercharging SMBs,"SoHo, New York City",2025-06-06T09:00:00,E-3 Tech,https://partiful.com/e/KOTwPA68sGgjuoytw4d1
Immigrant Founders & Investors Mixer,"Midtown, New York City",2025-06-06T18:00:00,OneRise,https://partiful.com/e/muJPTpa0mVYibp1lxEml
"What VCs Want, But No One Teaches You","Midtown, New York City",2025-06-03T10:00:00,Startup Grind,https://partiful.com/e/iq4MJJzZN0rfOqEOr2im
42Ville: Play & Build Your Experiential Playground,"Virtual (NYC), New York City",2025-06-04T16:00:00,Office for Humanity,https://partiful.com/events/Qahukjfhlv32VomPXJOk
AI & E-Com Panel + Startup Pitches,"Chelsea, New York City",2025-06-04T18:00:00,Madeline & Co.,https://partiful.com/e/7Ye8tuXHTYur0eDlhuRY
Tech Board Leadership: Unlocking AI for Impact,"Flatiron, New York City",2025-06-02T17:30:00,Board.Dev,https://partiful.com/e/FksQ1aFz6CXWybgjyPNC
AI in Marketing: Strategic Prompt Workshop,"Financial District, New York City",2025-06-03T15:30:00,PACE Front Yard,https://partiful.com/e/TCojygfnjpM1B5gf6Xsc
NEAR AI - Payment rails / Democratizing AI for 5.5 Billion Users,"Financial District, New York City",2025-06-03T10:30:00,PACE Front Yard Founders Lab,https://partiful.com/e/teDox29sqOYB0DrrCSJO
AI & Web3 Startup Demo Day,"Midtown, New York City",2025-06-03T12:00:00,"Salesforce, Mastercard",https://partiful.com/e/AHXy4azzf4bzxS2y3CU1
NYC's First-Ever-Sky-High Pitch Competition Event,"Hudson Yards, New York City",2025-06-05T07:00:00,Rocket Mixer and Apollo Society,https://partiful.com/e/wzLDKjSLTWVDNfUtgWsC
Networking & Panel on IPO Journey in Era of AI,"Midtown, New York City",2025-06-03T16:00:00,PwC,https://partiful.com/e/g3Tqr71bl3843my2k4ZJ?
CMO (Un)happy Hour,"Union Square, New York City",2025-06-05T16:30:00,Blokhaus,https://partiful.com/e/A1pecVLxNXWWUeCjvi7b
a16z speedrun Titans of New Media Dinner # NYTechWeek,"SoHo, New York City",2025-06-03T18:30:00,a16z speedrun,https://partiful.com/e/NqsuUxcVBM84NmKxTVdR
HealthTech Summit,"Midtown, New York City",2025-06-05T15:00:00,"Orrick, Near Future",Invite Only
Japan's Startup Future,"Flatiron, New York City",2025-06-04T15:00:00,Seeking Leverage LLC,https://partiful.com/e/lnVcrtiXds6Y1SCnB52N
Brex Shabbat Dinner ,"Chelsea, New York City",2025-06-06T19:00:00,Brex,https://partiful.com/events/RxHQ0yFLrAnQfMlD2y8J
Mindful Movement,"Union Square, New York City",2025-06-03T13:00:00,44ROCH,https://partiful.com/e/E7BaYBpBonURgglJW3VJ
Fabric +1 Cocktails In NYC,"Flatiron, New York City",2025-06-05T18:00:00,Fabric VC,Invite Only
Pitch Day Google for startups,"Financial District, New York City",2025-06-06T12:45:00,Pace Front Yard,https://partiful.com/e/gCChhcmhMahhKdT8KIVY
Wyoming - the future capital of corporations,"Flatiron, New York City",2025-06-02T17:00:00,Seeking Leverage LLC,https://partiful.com/e/a8lLWZaLHwoPHZt0Vbsy
DeFi Blockchain The Catalyst for the Future of finance,"Financial District, New York City",2025-06-07T10:00:00,Pace Front Yard,https://partiful.com/e/yhGmBjBukxulEWUOORwS
Calling Global Influencers: Omakase Dinner + Cultural Exchange,"Chelsea, New York City",2025-06-05T19:00:00,Crema Social,https://partiful.com/e/UHij63b9F7QyJBi2ocgM
"Medical-Infused Textile, FDA / SBIR manufacturing","Financial District, New York City",2025-06-03T13:30:00,PACE Front Yard Founders lab,https://partiful.com/e/q3cL6a8lmxIv9zZSt1py
AI Evolving the Educational Landscape Blockchain,"Financial District, New York City",2025-06-04T12:30:00,PACE Front Yard Founders Lab,https://partiful.com/e/7GzGu06P19PPuQcGClG0
One Community. One Voice. All Pride!,"Nomad, New York City",2025-06-04T18:00:00,Queer Consulting Network/Out Professionals/Out in Tech and 10 others,https://partiful.com/e/ZSQziklLnBG25UDckTNS
Biomedical Engineering and Soft Robotics,"Financial District, New York City",2025-06-06T10:00:00,Pace Front Yard,https://partiful.com/e/4GyOeWKO5iJahNARtNPG
The Future of FemTech,"Flatiron, New York City",2025-06-04T16:00:00,Fenwick,https://partiful.com/e/RTsC57PFZLX08pjVYBTR
Hot Girls are Cocky: Panel for Female Founders,"Chelsea, New York City",2025-06-02T16:00:00,Cocky Ventures,https://partiful.com/e/UTJSTYmScIMpSln02qki
Funded Founder Breakfast,"Union Square, New York City",2025-06-04T08:15:00,Startup Haven,https://partiful.com/e/UOx0do8PMR9UAeaCHnlE
MCP Hackathon Happy Hour,"SoHo, New York City",2025-06-02T09:00:00,TRMX AI,https://partiful.com/e/vBtGgC3WurF9XDq0jxtO
Beyond the Buzz: Building with AI in 2025,"Midtown, New York City",2025-06-03T18:00:00,BlackTech Meetup,https://partiful.com/e/pq804BNjTUmErugYjUlE
Launching Beyond the Lab: The GTM challenge for wearable tech,"Financial District, New York City",2025-06-05T14:30:00,PACE FRONT YARD FOUNDERS LAB,https://partiful.com/e/HYehqGkPMWyRJObtV2i5
Economic Winter? Startup Spring!,"Hudson Yards, New York City",2025-06-05T13:30:00,Innovation Norway,https://partiful.com/e/k0DYry9lju0QfmkZ5ZK1
Consumer Founder Dinner,"SoHo, New York City",2025-06-04T16:00:00,Helium,https://partiful.com/e/gydnsG933Fp8GF58BqeM
Experiential Happy Hour,"Brooklyn, New York City",2025-06-06T16:00:00,NYU Tandon @ The Yard,https://partiful.com/e/XWHaf18CD9LDsLkY5vTn
Inside the GTM Stack: Tools That Drive Pipeline,"Flatiron, New York City",2025-06-04T17:30:00,Iris AI,https://partiful.com/e/BcwNm5XEnc4YyAh9MpGX
Fintech CFO Office Hours,"Midtown, New York City",2025-06-03T10:00:00,Scalepoint Advisors,https://partiful.com/e/PCdgZa99bcF58ukYmj2S
The Gear Down,"Flatiron, New York City",2025-06-05T14:00:00,"RIPE, Othership",https://partiful.com/e/oqMaw1dcmgJaZUkdE9nb
Responsible AI- 2030,"Midtown, New York City",2025-06-06T18:00:00,AI 2030,https://partiful.com/e/1ktvnJftQbDgwM4JJVMo
Cocktails & Cash: A Female Founders/Investors Speakeasy,"West Village, New York City",2025-06-05T17:00:00,Madeline & Co.,https://partiful.com/e/vE8pULOFKMiHTbwp1WU1
AI Meets Culture: What’s Next?,"Flatiron, New York City",2025-06-03T16:00:00,Fenwick,https://partiful.com/e/y89gmo1Fj87kbQYJieuR
AI & Flexible biosensors/semiconductor/ med tech,"Financial District, New York City",2025-06-02T13:30:00,PACE Front Yard Founders lab,https://partiful.com/e/4dCiGBLO6NVuwMoSFR6Q
E-Textiles & Stretchable Biosensors,"Financial District, New York City",2025-06-04T15:30:00,PACE Front Yard,https://partiful.com/e/Zk7EbslkjgRGIq8Zp5TF
Litquidity Padel Mixer,"Hudson Yards, New York City",2025-06-05T10:00:00,Litquidity Ventures,Invite Only
A Founder's Guide to Fractional,"Tribeca, New York City",2025-06-03T18:00:00,"F3 (Founders, Funders, Fractionals)",https://partiful.com/e/R0AhmYdIhGjUYMjFLdjl
Founders Yoga Club by OFFLINE,"SoHo, New York City",2025-06-04T10:00:00,OFFLINE,https://partiful.com/e/CIMoVjQWhdxqrsPbHI8r
I've Raised $25M+ And I'm Not AI,"Midtown, New York City",2025-06-06T16:00:00,Astia,https://partiful.com/e/67OV2PfpBcjM56lho9W1
Enterprise AI Leaders Omakase Night,"SoHo, New York City",2025-06-03T18:30:00,Credal,https://partiful.com/e/O7m1VKIm2kpLtKZxGyjp
"IPO Summit @ NYSE w/ 8VC, Abra, Kraken, Alchemy","Financial District, New York City",2025-06-05T08:30:00,Sidebar Summit,https://partiful.com/e/BviYNKAmU6y8bGbzf7sB
The Consumer Startup Stack,"Midtown, New York City",2025-06-03T12:00:00,AcceleratorCON,https://partiful.com/e/uTA1dfYrnC3p4urETx0V
Tech Networking Dinner (June 4),"Tribeca, New York City",2025-06-04T18:00:00,Cuculi,https://partiful.com/e/a5vqeu7XOU8n4K6tjrsS
The AI Infrastructure Race,"Chelsea, New York City",2025-06-02T18:00:00,Kamp,https://partiful.com/e/CfcjWFXxtrBmNxiz0xEb
Key Partnerships for Exponential GTM Growth,"Financial District, New York City",2025-06-02T15:30:00,PACE Front Yard,https://partiful.com/e/7ekxy2jSLdakTKky4V9S
Customer-centric AI what customers really want,"Financial District, New York City",2025-06-07T11:30:00,PACE Front Yard,https://partiful.com/e/WCHCVPaE5LWE58IxySp7
"Bright Lights, Big Ideas: C-suite networking @ NY Tech Week","Midtown, New York City",2025-06-03T08:30:00,RSM,https://partiful.com/e/0VX5ze6Dvg6wOvtye3nK
Breaking Bread & Barriers,", New York City",2025-06-06T07:30:00,Visible Hands,Invite Only
Live:The Room Podcast x Partiful Interview,"SoHo, New York City",2025-06-02T20:00:00,"The Room Podcast, Perkins Coie, Mercury",https://partiful.com/e/XoBLLSkn5Qfcizdst6KJ
AI Real-Time Data Monitoring in HealthTech,"Financial District, New York City",2025-06-02T10:00:00,PACE Front Yard Founders lab,https://partiful.com/e/pke9ziLs68fPIne7z8
"Code, Sleep, Repeat – Reimagining STEM & Wellness","Midtown, New York City",2025-06-04T17:00:00,Loftie,https://partiful.com/e/9dY2YHo40KTtjFW13Q28
Planet Positive Pitch Competition,"Midtown, New York City",2025-06-02T17:00:00,Wallet Max,https://partiful.com/e/cPUMMJVrw04BZnWUfCSa
Business Impact with Open-Source AI,"Flatiron, New York City",2025-06-06T11:30:00,IBM,https://partiful.com/e/rbVsVPeTFoekgmfeFl7x
The Data-Driven Advantage,"Hudson Yards, New York City",2025-06-05T08:00:00,Innovation Norway,https://partiful.com/e/c9uUuggGcw9SmMXJVeLd
Storytelling in the World of Emerging Technologies,"Hudson Yards, New York City",2025-06-05T15:30:00,Innovation Norway,https://partiful.com/e/hdxlbyt4yc21iLkPUsIZ
Body > Burnout: A Wellness Experience for Founders,"Tribeca, New York City",2025-06-05T08:30:00,"F3 (Founders, Funders, Fractionals)",https://partiful.com/e/fvrBRjRAFft54cjlPfc6
Tech x Creator Social ,"Lower East Side, New York City",2025-06-04T18:00:00,Wells Fargo | Tech & Media Investment Banking,https://partiful.com/e/ROEnde4mcgA4Ane8h0Kb
Branding in an age of Ambiguity,"Hudson Yards, New York City",2025-06-05T14:30:00,Innovation Norway,https://partiful.com/e/tSToh3N5nTCeRdFzKE7U
Jobseeker Strategy,"Virtual (NYC), New York City",2025-06-02T15:00:00,Clutch Talent,https://partiful.com/e/rpy654ELx92JAFFZLENY
AI Unleashed: AWS & Lux's NY Tech Week Kickoff!,"Midtown, New York City",2025-06-02T16:00:00,"Amazon Web Services, Lux Capital",http://partiful.com/e/3Ew1BfzhVVt4xzgOssfk?
Founders & Funders Connect – NYC Tech Week 2025,"Midtown, New York City",2025-06-03T19:00:00,Beta University,https://partiful.com/e/jHwK6h9oTAUJGwjqKeLw
Investing for the future of NYC,"Upper Manhattan, New York City",2025-06-04T18:00:00,AlleyCorp,Invite Only
Log Off: Intentional Connection,"Tribeca, New York City",2025-06-04T14:00:00,Akin,https://partiful.com/e/W5TbZdaI1wQ04KzcUY6W
Crypto Movers & Shakers Bfast w/ Deel & Liquifi,"SoHo, New York City",2025-06-03T09:00:00,Deel,https://partiful.com/e/qntFH7q70JeCtHdEuN21
OpenAI Reception ,"SoHo, New York City",2025-06-05T16:30:00,OpenAI,https://partiful.com/e/I3E0DH6R61Hd58G8BFJQ
AI-Driven Neuro & Hormone non invasive blood test,"Financial District, New York City",2025-06-05T10:30:00,PACE Front Yard Founders Lab,Invite Only
"The Future Is Inherited: Part Party, Part Movement","Brooklyn, New York City",2025-06-04T18:00:00,Trellis Health,https://partiful.com/e/KL7ksV6ZiPJt2lRfYucl
$50K Pitch Competition + High-Energy Networking,"Midtown, New York City",2025-06-03T17:00:00,Rocket Mixer,https://partiful.com/e/nWrCaKIvSN93qMXEIbCm
Where should PMM sit?,"Financial District, New York City",2025-06-03T17:30:00,3Search,https://partiful.com/e/f9ZwbDXYGpG0cmim3gdN
VIP Gen AI Media & Entertainment Dinner,"None, New York City",2025-06-05T18:30:00,a16z,https://partiful.com/e/eILHmXsIyd5GBi9nvZRN
OpenAI Hackathon ,"SoHo, New York City",2025-06-05T10:00:00,OpenAI,https://partiful.com/e/o4uezkLoE8g7Z9Su0Qvt
Sunset Music Sessions - NYTW,"East Village, New York City",2025-06-03T19:00:00,Wollen Labs,https://partiful.com/e/EyJg3B2Dv1MAY5z6S9FZ
Techstars Vertical Network Kickoff,"Murray Hill, New York City",2025-06-06T09:00:00,"Techstars, PwC",https://partiful.com/e/6uAI4WFHgfT2ZHE4VxAG
Virtual WebDemos,"Virtual (NYC), New York City",2025-06-02T11:30:00,Videocorners,https://partiful.com/e/twdbFBTmzFxIMEWYjUkd
Pitch Palooza,"Tribeca, New York City",2025-06-03T14:30:00,"Foundry, J.P. Morgan, Infinity Constellation",https://partiful.com/e/IFDJT8kcwcw6xAJWOtfX
AI Infrastructure Night,"Midtown, New York City",2025-06-05T18:00:00,Towersteam,Invite Only
Wellness x AI - The New Era of Self-Care,"Midtown, New York City",2025-06-06T18:30:00,InnovatorX,https://partiful.com/e/YqRqxNgMyOycjhif3JEa
Tennis Topspin & Top-line,"Midtown, New York City",2025-06-07T13:00:00,Alice.CPA,https://partiful.com/events/wwduSyS0rbn17FD2I8ER
Building Agentic Commerce Dinner,"SoHo, New York City",2025-06-03T18:00:00,Vesey Ventures,https://partiful.com/e/8J1Mzr7uqaUOYu0fNTea
